Source;Target;Weight
0;5;2
0;8;1
0;1;1
0;2;1
0;3;3
0;4;1
6;5;1
6;1;2
6;4;3
6;3;4
6;7;1
10;8;1
10;9;1
10;1;15
10;11;1
10;12;5
10;13;1
10;14;4
10;15;2
10;16;2
10;17;1
10;2;1
10;18;1
10;4;4
10;19;1
10;20;2
10;21;1
10;22;2
10;3;3
12;1;2
12;4;1
18;23;1
24;25;1
24;18;1
26;18;1
26;14;1
27;13;1
27;1;3
27;28;1
27;19;3
27;20;2
27;4;1
27;22;2
29;1;1
36;3;2
36;4;1
30;3;1
30;4;1
31;1;1
32;19;3
33;20;2
34;3;2
35;3;1
